idade,genero,pais,nivel_educacional,anos_programando,cargo_atual,anos_usando_ml,salario_anual_usd,linguagens_usadas,bancos_de_dados_usados,ferramentas_bi_usadas
40-44,Woman,Japan,Doctoral degree,3-5 years,Data Scientist,Computers/Technology,"1,000-1,999",Python,SQLite;MongoDB,
30-34,Woman,Singapore,Master’s degree,5-10 years,Data Scientist,Insurance/Risk Assessment,"5,000-7,499",Python;Javascript,SQLite,
45-49,Woman,Other,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"30,000-39,999",Python,,
35-39,Woman,India,Bachelor’s degree,10-20 years,Data Engineer,Retail/Sales,"15,000-19,999",Python;SQL,,
25-29,Woman,India,Master’s degree,1-3 years,Data Engineer,Computers/Technology,$0-999,Python,SQLite;MongoDB,Google Data Studio
22-24,Woman,India,Bachelor’s degree,1-3 years,Data Scientist,Medical/Pharmaceutical,"7,500-9,999",Python;R;SQL;Javascript,SQLite,
30-34,Woman,Pakistan,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,,,,
35-39,Woman,United States of America,Master’s degree,3-5 years,Data Administrator,Manufacturing/Fabrication,"100,000-124,999",SQL,,
25-29,Woman,United States of America,Bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,"60,000-69,999",Python;R;Java,,
30-34,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"3,000-3,999",,,
35-39,Woman,Nigeria,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,,,,
25-29,Woman,South Africa,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"7,500-9,999",,,
22-24,Woman,India,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,$0-999,,,
25-29,Woman,Kenya,Bachelor’s degree,1-3 years,Data Scientist,Computers/Technology,"1,000-1,999",Python,,
22-24,Woman,Nigeria,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,$0-999,Python;R;SQL,,
30-34,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Marketing/CRM,"125,000-149,999",Python;R;SQL,,
30-34,Woman,India,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"7,500-9,999",Python,,
22-24,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,Python;SQL,,
35-39,Woman,Tunisia,Doctoral degree,5-10 years,Data Scientist,Computers/Technology,$0-999,Python;C;C#;C++;Java,,Qlik Sense
55-59,Woman,Taiwan,Doctoral degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,Python;R,,
50-54,Woman,United States of America,Master’s degree,20+ years,Data Scientist,Computers/Technology,"200,000-249,999",Python;R;SQL,SQLite,Looker
35-39,Woman,Tunisia,Master’s degree,10-20 years,Data Scientist,Other,"150,000-199,999",Python;SQL;Java;Bash,Oracle Database,Google Data Studio;Tableau
25-29,Woman,United States of America,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"70,000-79,999",Python;SQL,,
25-29,Woman,India,I prefer not to answer,< 1 years,Data Scientist,Manufacturing/Fabrication,"2,000-2,999",Python;SQL,Microsoft SQL Server,
30-34,Woman,United States of America,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"80,000-89,999",,,
18-21,Woman,India,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;R;SQL;Java,,
40-44,Woman,Colombia,Master’s degree,5-10 years,Data Engineer,Computers/Technology,"80,000-89,999",Python;R;SQL;Java,,
30-34,Woman,Spain,Master’s degree,5-10 years,Data Scientist,Non-profit/Service,"40,000-49,999",Python;SQL;C;C++;Bash,,
22-24,Woman,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python;C,,
22-24,Woman,India,Bachelor’s degree,I have never written code,Data Engineer,Computers/Technology,"200,000-249,999",,,
35-39,Woman,Spain,Some college/university study without earning a bachelor’s degree,5-10 years,Data Engineer,Computers/Technology,"2,000-2,999",SQL;C++;Java;Javascript;MATLAB,,
30-34,Woman,Brazil,I prefer not to answer,I have never written code,Data Scientist,Medical/Pharmaceutical,$0-999,,,
25-29,Woman,India,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"30,000-39,999",,,
22-24,Woman,Other,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"1,000-1,999",Python;SQL;PHP,,
35-39,Woman,Turkey,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,"1,000-1,999",SQL,,
30-34,Woman,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"20,000-24,999",Python,,
45-49,Woman,Japan,Master’s degree,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"5,000-7,499",Python;SQL;Bash,MongoDB,
40-44,Woman,United States of America,Professional doctorate,5-10 years,Data Scientist,Government/Public Service,"100,000-124,999",Python;R;SQL,,
35-39,Woman,Peru,Bachelor’s degree,3-5 years,Data Scientist,Academics/Education,"20,000-24,999",Python,MongoDB,
25-29,Woman,Turkey,Bachelor’s degree,1-3 years,Data Scientist,Non-profit/Service,$0-999,Python;SQL;Javascript,,
25-29,Woman,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python;SQL,,
30-34,Woman,Other,I prefer not to answer,I have never written code,Data Scientist,Medical/Pharmaceutical,$0-999,,,
50-54,Woman,United States of America,Doctoral degree,5-10 years,Data Scientist,Medical/Pharmaceutical,"150,000-199,999",Python;R;SQL,MySQL;SQLite;MongoDB,
22-24,Woman,South Korea,Bachelor’s degree,1-3 years,Data Engineer,,,Python;C,,
30-34,Woman,United States of America,Doctoral degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,,,
40-44,Woman,United States of America,Master’s degree,< 1 years,Data Scientist,Accounting/Finance,$0-999,Python;SQL;MATLAB,,
25-29,Woman,India,Bachelor’s degree,5-10 years,Data Engineer,Computers/Technology,"3,000-3,999",Python;SQL,MongoDB;Snowflake,
22-24,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"3,000-3,999",,,
30-34,Woman,Germany,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,"60,000-69,999",Python;SQL,,
35-39,Woman,United States of America,Master’s degree,3-5 years,Data Scientist,Manufacturing/Fabrication,"125,000-149,999",Python;SQL,,
55-59,Woman,United States of America,Doctoral degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"100,000-124,999",R,,
25-29,Woman,Brazil,Master’s degree,5-10 years,Data Scientist,Accounting/Finance,"25,000-29,999",Python;SQL,,
30-34,Woman,United States of America,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"90,000-99,999",Python;SQL,,
25-29,Woman,Nigeria,Bachelor’s degree,1-3 years,Data Scientist,Accounting/Finance,$0-999,Python;SQL,,
25-29,Woman,United States of America,Master’s degree,3-5 years,Data Scientist,Government/Public Service,"80,000-89,999",Python,,
40-44,Woman,United States of America,Master’s degree,1-3 years,Data Scientist,Retail/Sales,"100,000-124,999",Python;SQL,MongoDB,
25-29,Woman,United States of America,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,"10,000-14,999",Python;SQL,SQLite;MongoDB,
22-24,Woman,India,Master’s degree,5-10 years,Data Scientist,Computers/Technology,,Python;R,MongoDB,
25-29,Woman,Netherlands,Professional doctorate,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"4,000-4,999",Python;R;SQL;MATLAB,,
30-34,Woman,Nigeria,Some college/university study without earning a bachelor’s degree,< 1 years,Data Scientist,Computers/Technology,"4,000-4,999",Python,,
30-34,Woman,United States of America,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"90,000-99,999",Python;R;SQL;Bash,,
22-24,Woman,Turkey,Master’s degree,3-5 years,Data Scientist,Computers/Technology,$0-999,Python;R;SQL,,
25-29,Woman,United States of America,Master’s degree,3-5 years,Data Scientist,Energy/Mining,"90,000-99,999",Python;R;SQL,,
25-29,Woman,Mexico,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"15,000-19,999",,,
25-29,Woman,India,Master’s degree,< 1 years,Data Scientist,Academics/Education,,Python;MATLAB,,
25-29,Woman,India,Master’s degree,3-5 years,Data Engineer,Accounting/Finance,"125,000-149,999",SQL,,
30-34,Woman,Ireland,Doctoral degree,1-3 years,Data Scientist,Accounting/Finance,"70,000-79,999",Python;SQL,SQLite,
25-29,Woman,Ethiopia,Bachelor’s degree,< 1 years,Data Engineer,Government/Public Service,$0-999,Python;Javascript,,
22-24,Woman,Nigeria,Professional doctorate,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,$0-999,Python;R,,
30-34,Woman,India,Master’s degree,1-3 years,Data Scientist,Accounting/Finance,$0-999,Python;SQL,,
22-24,Woman,Philippines,Master’s degree,1-3 years,Data Scientist,Marketing/CRM,"10,000-14,999",Python,,
40-44,Woman,Morocco,No formal education past high school,3-5 years,Data Engineer,Non-profit/Service,"100,000-124,999",Python;SQL,,
50-54,Woman,Argentina,Professional doctorate,10-20 years,Data Scientist,Online Service/Internet-based Services,"1,000-1,999",Python;R;SQL,,
22-24,Woman,Pakistan,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"1,000-1,999",Python;R;C#;C++;MATLAB,MongoDB,
40-44,Woman,United States of America,Bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,,Python;SQL;Javascript;Bash;PHP,,
30-34,Woman,Japan,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"2,000-2,999",,,
55-59,Woman,United States of America,Master’s degree,20+ years,Data Scientist,Computers/Technology,"150,000-199,999",Python;R;SQL,,
30-34,Woman,Chile,Master’s degree,1-3 years,Data Scientist,Computers/Technology,"25,000-29,999",Python;SQL,MongoDB,
25-29,Woman,Other,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,$0-999,,,
25-29,Woman,Nigeria,Doctoral degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python;R;SQL;Javascript;Bash,,
25-29,Woman,Pakistan,Doctoral degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,$0-999,Python;R,,
25-29,Woman,United States of America,Some college/university study without earning a bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"60,000-69,999",,,
25-29,Woman,Pakistan,Master’s degree,< 1 years,Data Scientist,Computers/Technology,"4,000-4,999",Python;SQL,,
25-29,Woman,India,Master’s degree,1-3 years,Data Scientist,Online Service/Internet-based Services,,Python,,
22-24,Woman,India,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"7,500-9,999",Python;SQL;C++,MySQL,
40-44,Woman,United States of America,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;SQL;Bash;PHP,,
45-49,Woman,United States of America,Doctoral degree,10-20 years,Data Scientist,Computers/Technology,"100,000-124,999",Python;SQL;C;C#;C++;MATLAB,,
30-34,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Other,"150,000-199,999",Python;R;SQL,MySQL;Snowflake,
22-24,Woman,India,Bachelor’s degree,1-3 years,Data Scientist,Computers/Technology,"5,000-7,499",Python;SQL;Javascript,MySQL;SQLite,Qlik Sense
25-29,Woman,Netherlands,Master’s degree,1-3 years,Data Scientist,Government/Public Service,"40,000-49,999",R;SQL,,
25-29,Woman,China,Master’s degree,1-3 years,Data Engineer,Computers/Technology,"1,000-1,999",Python,,
30-34,Woman,Japan,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python;Java;Bash,,
40-44,Woman,India,Master’s degree,< 1 years,Data Scientist,Academics/Education,$0-999,Python;SQL;C,MongoDB,
50-54,Woman,Other,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"20,000-24,999",,,
35-39,Woman,Italy,Master’s degree,10-20 years,Data Scientist,Computers/Technology,"25,000-29,999",Python;SQL;Javascript,,
35-39,Woman,Nigeria,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,$0-999,SQL,,
30-34,Woman,Ukraine,Bachelor’s degree,1-3 years,Data Scientist,Accounting/Finance,"10,000-14,999",Python;SQL,,
30-34,Woman,Australia,Master’s degree,3-5 years,Data Scientist,Accounting/Finance,"100,000-124,999",Python;R;SQL,,Microsoft Power BI
35-39,Woman,Other,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"10,000-14,999",Python,,
40-44,Woman,United States of America,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,,,
30-34,Woman,Nigeria,Master’s degree,3-5 years,Data Administrator,Government/Public Service,"1,000-1,999",Python;SQL;PHP,,
25-29,Woman,India,Master’s degree,< 1 years,Data Scientist,Other,$0-999,Python,,
25-29,Woman,India,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;C++,PostgreSQL,
30-34,Woman,United States of America,Bachelor’s degree,5-10 years,Data Scientist,Retail/Sales,"125,000-149,999",Python;SQL,,
22-24,Woman,India,Master’s degree,1-3 years,Data Scientist,Computers/Technology,,Python;SQL;MATLAB,,
25-29,Woman,Japan,I prefer not to answer,5-10 years,Data Scientist,Academics/Education,"40,000-49,999",Python;SQL,MongoDB;Snowflake,
50-54,Woman,Spain,Doctoral degree,3-5 years,Data Scientist,Government/Public Service,"1,000-1,999",Python;R;SQL;MATLAB,,
50-54,Woman,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,20+ years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"50,000-59,999",R;SQL,,
30-34,Woman,Germany,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"60,000-69,999",Python;SQL,MongoDB,
40-44,Woman,Other,Master’s degree,10-20 years,Data Scientist,Online Service/Internet-based Services,,Python;SQL,,
25-29,Woman,Pakistan,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"10,000-14,999",R;SQL,,
30-34,Woman,South Africa,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"2,000-2,999",Python,,
35-39,Woman,United States of America,Doctoral degree,5-10 years,Data Scientist,Computers/Technology,"200,000-249,999",Python;R;SQL,,
22-24,Woman,Other,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"10,000-14,999",,,
30-34,Woman,Poland,Master’s degree,5-10 years,Data Scientist,Insurance/Risk Assessment,"90,000-99,999",Python;R;SQL;MATLAB,,
25-29,Woman,United States of America,Master’s degree,3-5 years,Data Scientist,Government/Public Service,"90,000-99,999",Python,,
25-29,Woman,Argentina,Professional doctorate,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,Python,,
45-49,Woman,United States of America,Some college/university study without earning a bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,,,
30-34,Woman,Brazil,Master’s degree,1-3 years,Data Scientist,Accounting/Finance,"7,500-9,999",Python;R;SQL,,
35-39,Woman,United Arab Emirates,Bachelor’s degree,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,"100,000-124,999",Python,,
25-29,Woman,"Iran, Islamic Republic of...",I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"3,000-3,999",Javascript,,
22-24,Woman,Ukraine,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"5,000-7,499",Python;SQL;C++;Java;MATLAB,,
35-39,Woman,Other,Doctoral degree,3-5 years,Data Scientist,Computers/Technology,"50,000-59,999",Python,,
30-34,Woman,India,I prefer not to answer,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,SQL,,
40-44,Woman,India,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"20,000-24,999",,,
35-39,Woman,Turkey,Master’s degree,3-5 years,Data Scientist,Computers/Technology,$0-999,Python,,
25-29,Woman,India,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"50,000-59,999",R;SQL,PostgreSQL,
22-24,Woman,India,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,$0-999,SQL,PostgreSQL,Qlik Sense
35-39,Woman,United States of America,Doctoral degree,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,"300,000-499,999",Python;R;SQL,SQLite;Oracle Database,
25-29,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,"60,000-69,999",Python;SQL,,
22-24,Woman,India,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,$0-999,Python,,
45-49,Woman,United States of America,Some college/university study without earning a bachelor’s degree,20+ years,Data Engineer,Medical/Pharmaceutical,"100,000-124,999",Python;SQL;C#;Javascript;Bash,SQLite,
25-29,Woman,India,Bachelor’s degree,1-3 years,Data Scientist,Online Service/Internet-based Services,"1,000-1,999",Python;SQL;C;C#;Javascript,MySQL,
22-24,Woman,India,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"3,000-3,999",SQL,,
22-24,Woman,Other,Master’s degree,1-3 years,Data Scientist,Broadcasting/Communications,"5,000-7,499",Python,,
22-24,Woman,United States of America,Some college/university study without earning a bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"30,000-39,999",Python,,
25-29,Woman,India,I prefer not to answer,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"15,000-19,999",Python;SQL;C;C++;Java;Javascript,MySQL;PostgreSQL;SQLite;Oracle Database;MongoDB;Snowflake,
35-39,Woman,India,Master’s degree,5-10 years,Data Scientist,Accounting/Finance,"15,000-19,999",Python;R;SQL,,Google Data Studio
22-24,Woman,Ghana,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,$0-999,R;SQL,,
30-34,Woman,Spain,I prefer not to answer,3-5 years,Data Scientist,Insurance/Risk Assessment,"50,000-59,999",Python;SQL,,
25-29,Woman,India,Doctoral degree,3-5 years,Data Scientist,Computers/Technology,"15,000-19,999",Python,MySQL;SQLite,
40-44,Woman,United States of America,Master’s degree,20+ years,Data Scientist,Accounting/Finance,"80,000-89,999",Python;SQL,,
40-44,Woman,Brazil,Doctoral degree,10-20 years,Data Scientist,Manufacturing/Fabrication,,Python;SQL,,
22-24,Woman,Russia,Master’s degree,3-5 years,Data Scientist,Computers/Technology,$0-999,Python;Bash,MongoDB,
25-29,Woman,Other,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python;SQL;Javascript,SQLite,Looker
50-54,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"70,000-79,999",Python;SQL,,
25-29,Woman,United States of America,I prefer not to answer,1-3 years,Data Scientist,Computers/Technology,,Python,,
22-24,Woman,India,Master’s degree,1-3 years,Data Scientist,Medical/Pharmaceutical,"15,000-19,999",Python;R;SQL,,
30-34,Woman,Ukraine,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"10,000-14,999",,,
35-39,Woman,Israel,Doctoral degree,1-3 years,Data Scientist,Other,"100,000-124,999",Python,,
50-54,Woman,United States of America,Master’s degree,1-3 years,Data Scientist,Non-profit/Service,"60,000-69,999",Python;R;SQL;MATLAB,MongoDB,
55-59,Woman,United States of America,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"70,000-79,999",,,
60-69,Woman,United States of America,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"20,000-24,999",Python;R;SQL,,
40-44,Woman,India,I prefer not to answer,3-5 years,Data Scientist,Computers/Technology,"10,000-14,999",Python;R;SQL,Oracle Database;Snowflake,
35-39,Woman,United States of America,Bachelor’s degree,3-5 years,Data Engineer,Manufacturing/Fabrication,"125,000-149,999",Python;SQL;Bash,MySQL;MongoDB,Google Data Studio
35-39,Woman,Brazil,Doctoral degree,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"2,000-2,999",Python;SQL;C,,
30-34,Woman,Portugal,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"30,000-39,999",SQL,,
30-34,Woman,United States of America,Bachelor’s degree,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,"150,000-199,999",SQL,,
35-39,Woman,South Korea,Doctoral degree,10-20 years,Data Engineer,Manufacturing/Fabrication,"7,500-9,999",Python;SQL;Bash,PostgreSQL;Snowflake,
25-29,Woman,Ukraine,Some college/university study without earning a bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,,Python;SQL,,
25-29,Woman,United States of America,Master’s degree,3-5 years,Data Scientist,Retail/Sales,"125,000-149,999",Python;R;SQL,SQLite,
35-39,Woman,Kenya,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"60,000-69,999",Python;R;SQL,MongoDB,
25-29,Woman,Australia,Bachelor’s degree,5-10 years,Data Scientist,Computers/Technology,"100,000-124,999",R;SQL,,
30-34,Woman,India,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"2,000-2,999",,,
30-34,Woman,India,Doctoral degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,"2,000-2,999",,,
45-49,Woman,Other,Bachelor’s degree,10-20 years,Data Engineer,Accounting/Finance,,Python;SQL;C#,,
25-29,Woman,United States of America,Bachelor’s degree,5-10 years,Data Scientist,Medical/Pharmaceutical,"200,000-249,999",Python;R;SQL,SQLite;MongoDB,
40-44,Woman,Nigeria,Doctoral degree,1-3 years,Data Scientist,Non-profit/Service,"10,000-14,999",Python,,
25-29,Woman,United States of America,Master’s degree,10-20 years,Data Scientist,Retail/Sales,"125,000-149,999",Python;C++,SQLite,
30-34,Woman,India,Bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"10,000-14,999",Python;R;SQL,,
22-24,Woman,Other,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"125,000-149,999",C;Java,MongoDB,
35-39,Woman,India,I prefer not to answer,3-5 years,Data Scientist,Computers/Technology,"2,000-2,999",Python;MATLAB,,
40-44,Woman,Portugal,Doctoral degree,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"25,000-29,999",Python;SQL;Bash,,
25-29,Woman,Peru,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,$0-999,Python;SQL;Javascript;Bash,SQLite,Tableau
25-29,Woman,India,Master’s degree,1-3 years,Data Scientist,Accounting/Finance,"30,000-39,999",Python;R,,
30-34,Woman,Other,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,$0-999,,,
45-49,Woman,United States of America,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,"50,000-59,999",,,
25-29,Woman,India,Bachelor’s degree,< 1 years,Data Scientist,,,Python,,
30-34,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Accounting/Finance,"125,000-149,999",Python;R;SQL,,
30-34,Woman,India,Master’s degree,5-10 years,Data Scientist,Computers/Technology,$0-999,Python;SQL;C;C#;C++;Java;Javascript,MongoDB,
45-49,Woman,Ghana,Bachelor’s degree,I have never written code,Data Administrator,Government/Public Service,"1,000-1,999",,,
22-24,Woman,India,I prefer not to answer,3-5 years,Data Scientist,Energy/Mining,,SQL;C#;C++;Java,,
18-21,Woman,India,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"4,000-4,999",Java,,
25-29,Woman,Taiwan,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,"15,000-19,999",Python,,
45-49,Woman,United States of America,Doctoral degree,20+ years,Data Scientist,Computers/Technology,"150,000-199,999",Python;R,SQLite;MongoDB,Microsoft Power BI
22-24,Woman,Egypt,Bachelor’s degree,I have never written code,Data Scientist,Accounting/Finance,$0-999,,,
25-29,Woman,India,I prefer not to answer,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python;R;SQL,,
30-34,Woman,India,Bachelor’s degree,5-10 years,Data Scientist,Manufacturing/Fabrication,"1,000-1,999",Python,MySQL,
25-29,Woman,Egypt,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,$0-999,Python;C#;C++;MATLAB,,
25-29,Woman,Nigeria,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,"2,000-2,999",Python;SQL,,
25-29,Woman,United States of America,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,"60,000-69,999",,,
22-24,Woman,Russia,Bachelor’s degree,3-5 years,Data Scientist,Computers/Technology,"15,000-19,999",Python;SQL;Bash,,
35-39,Woman,Nigeria,Master’s degree,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"50,000-59,999",R;SQL,,
